sample_id,overall,audio,video,transcript,synchronization,missing_value,corruption,confidence
319_audio_319_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
319_text_319_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
320_audio_320_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
320_text_320_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
321_audio_321_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
321_text_321_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
322_audio_322_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
322_text_322_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
323_audio_323_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
323_text_323_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
324_audio_324_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
324_text_324_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
325_audio_325_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
325_text_325_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
326_audio_326_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
326_text_326_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
327_audio_327_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
327_text_327_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
328_audio_328_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
328_text_328_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
329_audio_329_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
329_text_329_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
330_audio_330_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
330_text_330_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
331_audio_331_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
331_text_331_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
332_audio_332_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
332_text_332_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
333_audio_333_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
333_text_333_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
334_audio_334_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
334_text_334_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
335_audio_335_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
335_text_335_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
336_audio_336_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
336_text_336_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
337_audio_337_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
337_text_337_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
338_audio_338_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
338_text_338_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
339_audio_339_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
339_text_339_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
340_audio_340_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
340_text_340_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
341_audio_341_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
341_text_341_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
343_audio_343_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
343_text_343_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
344_audio_344_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
344_text_344_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
345_audio_345_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
345_text_345_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
346_audio_346_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
346_text_346_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
347_audio_347_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
347_text_347_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
348_audio_348_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
348_text_348_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
349_audio_349_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
349_text_349_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
350_audio_350_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
350_text_350_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
351_audio_351_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
351_text_351_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
352_audio_352_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
352_text_352_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
353_audio_353_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
353_text_353_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
354_audio_354_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
354_text_354_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
355_audio_355_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
355_text_355_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
356_audio_356_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
356_text_356_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
357_audio_357_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
357_text_357_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
358_audio_358_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
358_text_358_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
359_audio_359_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
359_text_359_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
360_audio_360_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
360_text_360_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
361_audio_361_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
361_text_361_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
362_audio_362_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
362_text_362_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
363_audio_363_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
363_text_363_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
364_audio_364_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
364_text_364_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
365_audio_365_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
365_text_365_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
366_audio_366_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
366_text_366_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
367_audio_367_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
367_text_367_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
368_audio_368_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
368_text_368_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
369_audio_369_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
369_text_369_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
370_audio_370_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
370_text_370_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
371_audio_371_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
371_text_371_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
372_audio_372_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
372_text_372_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
373_audio_373_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
373_text_373_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
374_audio_374_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
374_text_374_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
375_audio_375_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
375_text_375_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
376_audio_376_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
376_text_376_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
377_audio_377_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
377_text_377_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
378_audio_378_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
378_text_378_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
379_audio_379_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
379_text_379_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
380_audio_380_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
380_text_380_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
381_audio_381_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
381_text_381_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
382_audio_382_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
382_text_382_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
383_audio_383_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
383_text_383_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
384_audio_384_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
384_text_384_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
385_audio_385_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
385_text_385_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
386_audio_386_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
386_text_386_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
387_audio_387_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
387_text_387_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
388_audio_388_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
388_text_388_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
389_audio_389_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
389_text_389_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
390_audio_390_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
390_text_390_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
391_audio_391_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
391_text_391_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
392_audio_392_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
392_text_392_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
393_audio_393_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
393_text_393_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
395_audio_395_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
395_text_395_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
397_audio_397_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
397_text_397_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
399_audio_399_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
399_text_399_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
400_audio_400_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
400_text_400_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
401_audio_401_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
401_text_401_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
402_audio_402_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
402_text_402_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
403_audio_403_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
403_text_403_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
404_audio_404_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
404_text_404_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
405_audio_405_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
405_text_405_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
406_audio_406_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
406_text_406_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
407_audio_407_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
407_text_407_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
408_audio_408_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
408_text_408_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
409_audio_409_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
409_text_409_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
410_audio_410_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
410_text_410_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
411_audio_411_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
411_text_411_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
412_audio_412_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
412_text_412_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
413_audio_413_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
413_text_413_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
414_audio_414_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
414_text_414_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
415_audio_415_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
415_text_415_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
416_audio_416_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
416_text_416_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
417_audio_417_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
417_text_417_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
418_audio_418_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
418_text_418_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
419_audio_419_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
419_text_419_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
420_audio_420_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
420_text_420_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
421_audio_421_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
421_text_421_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
422_audio_422_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
422_text_422_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
423_audio_423_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
423_text_423_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
424_audio_424_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
424_text_424_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
425_audio_425_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
425_text_425_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
426_audio_426_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
426_text_426_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
427_audio_427_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
427_text_427_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
428_audio_428_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
428_text_428_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
429_audio_429_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
429_text_429_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
430_audio_430_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
430_text_430_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
431_audio_431_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
431_text_431_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
432_audio_432_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
432_text_432_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
433_audio_433_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
433_text_433_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
434_audio_434_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
434_text_434_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
435_audio_435_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
435_text_435_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
436_audio_436_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
436_text_436_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
437_audio_437_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
437_text_437_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
438_audio_438_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
438_text_438_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
439_audio_439_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
439_text_439_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
441_audio_441_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
441_text_441_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
442_audio_442_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
442_text_442_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
443_audio_443_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
443_text_443_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
444_audio_444_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
444_text_444_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
445_audio_445_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
445_text_445_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
446_audio_446_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
446_text_446_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
447_audio_447_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
447_text_447_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
448_audio_448_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
448_text_448_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
449_audio_449_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
449_text_449_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
450_audio_450_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
450_text_450_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
451_audio_451_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
451_text_451_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
452_audio_452_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
452_text_452_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
453_audio_453_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
453_text_453_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
454_audio_454_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
454_text_454_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
455_audio_455_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
455_text_455_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
456_audio_456_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
456_text_456_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
457_audio_457_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
457_text_457_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
458_audio_458_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
458_text_458_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
459_audio_459_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
459_text_459_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
461_audio_461_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
461_text_461_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
462_audio_462_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
462_text_462_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
463_audio_463_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
463_text_463_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
464_audio_464_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
464_text_464_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
465_audio_465_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
465_text_465_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
466_audio_466_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
466_text_466_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
467_audio_467_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
467_text_467_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
468_audio_468_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
468_text_468_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
469_audio_469_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
469_text_469_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
470_audio_470_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
470_text_470_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
471_audio_471_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
471_text_471_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
472_audio_472_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
472_text_472_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
473_audio_473_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
473_text_473_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
474_audio_474_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
474_text_474_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
475_audio_475_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
475_text_475_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
476_audio_476_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
476_text_476_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
477_audio_477_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
477_text_477_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
478_audio_478_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
